"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
5.34611684121352e-07,16,960,6.23677248677249,"GO:0022008 Neurogenesis "," https://amigo.geneontology.org/amigo/term/GO:0022008","irx1b cntn3a.1 tfap2a efnb3b th her9 irx5a efna2a ltk gata3 nr4a2a efna3a acsl4a neurod1 gata2a dab1a"
5.34611684121352e-07,23,2096,4.10627196171089,"GO:0030154 Cell differentiation "," https://amigo.geneontology.org/amigo/term/GO:0030154","irx1b cntn3a.1 tfap2a efnb3b th her9 foxa2 irx5a efna2a ltk nkx2.1 nog2 fosl2 gata3 nr4a2a efna3a acsl4a neurod1 errfi1a gata2a npas4a dab1a qkia"
5.34611684121352e-07,15,823,6.82028583000637,"GO:0030182 Neuron differentiation "," https://amigo.geneontology.org/amigo/term/GO:0030182","irx1b cntn3a.1 tfap2a efnb3b th her9 irx5a efna2a ltk gata3 nr4a2a efna3a acsl4a neurod1 gata2a"
5.34611684121352e-07,16,879,6.81149213572422,"GO:0048699 Generation of neurons "," https://amigo.geneontology.org/amigo/term/GO:0048699","irx1b cntn3a.1 tfap2a efnb3b th her9 irx5a efna2a ltk gata3 nr4a2a efna3a acsl4a neurod1 gata2a dab1a"
5.34611684121352e-07,29,3480,3.11838624338624,"GO:0048856 Anatomical structure development "," https://amigo.geneontology.org/amigo/term/GO:0048856","irx1b fam20ca smarca5 cntn3a.1 tfap2a efnb3b th her9 foxa2 irx5a efna2a ltk nkx2.1 gdf11 nog2 fosl2 pitx2 gata3 nr4a2a efna3a acsl4a neurod1 xkr6b errfi1a gata2a prkd1 npas4a dab1a qkia"
5.34611684121352e-07,23,2097,4.10431379673154,"GO:0048869 Cellular developmental proc. "," https://amigo.geneontology.org/amigo/term/GO:0048869","irx1b cntn3a.1 tfap2a efnb3b th her9 foxa2 irx5a efna2a ltk nkx2.1 nog2 fosl2 gata3 nr4a2a efna3a acsl4a neurod1 errfi1a gata2a npas4a dab1a qkia"
1.93879933335463e-06,16,1065,5.62187942469633,"GO:0000977 Rna polymerase ii transcription regulatory region sequence-specific dna binding "," https://amigo.geneontology.org/amigo/term/GO:0000977","irx1b prdm16 tfap2a foxa2 irx5a nkx2.1 fosl2 pitx2 gata3 nr4a3 tfap2e nr4a2a rorb neurod1 gata2a npas4a"
2.70383718781278e-06,29,3780,2.87089527168892,"GO:0032502 Developmental proc. "," https://amigo.geneontology.org/amigo/term/GO:0032502","irx1b fam20ca smarca5 cntn3a.1 tfap2a efnb3b th her9 foxa2 irx5a efna2a ltk nkx2.1 gdf11 nog2 fosl2 pitx2 gata3 nr4a2a efna3a acsl4a neurod1 xkr6b errfi1a gata2a prkd1 npas4a dab1a qkia"
2.78874481955397e-06,16,1129,5.30319006846908,"GO:0000976 Transcription cis-regulatory region binding "," https://amigo.geneontology.org/amigo/term/GO:0000976","irx1b prdm16 tfap2a foxa2 irx5a nkx2.1 fosl2 pitx2 gata3 nr4a3 tfap2e nr4a2a rorb neurod1 gata2a npas4a"
2.78874481955397e-06,16,1129,5.30319006846908,"GO:0001067 Transcription regulatory region nucleic acid binding "," https://amigo.geneontology.org/amigo/term/GO:0001067","irx1b prdm16 tfap2a foxa2 irx5a nkx2.1 fosl2 pitx2 gata3 nr4a3 tfap2e nr4a2a rorb neurod1 gata2a npas4a"
2.78874481955397e-06,17,1292,4.92376775271512,"GO:0003700 Dna-binding transcription factor activity "," https://amigo.geneontology.org/amigo/term/GO:0003700","irx1b prdm16 tfap2a foxa2 irx5a nkx2.1 fosl2 pitx2 gata3 nr4a3 tfap2e etv1 nr4a2a rorb neurod1 gata2a npas4a"
3.12521170234492e-06,23,2485,3.46347928842899,"GO:0048731 System development "," https://amigo.geneontology.org/amigo/term/GO:0048731","irx1b smarca5 cntn3a.1 tfap2a efnb3b th her9 irx5a efna2a ltk gdf11 nog2 fosl2 pitx2 gata3 nr4a2a efna3a acsl4a neurod1 gata2a prkd1 npas4a dab1a"
3.12521170234492e-06,21,2055,3.82400648824006,"GO:0003677 Dna binding "," https://amigo.geneontology.org/amigo/term/GO:0003677","irx1b mecom prdm16 smarca5 tfap2a her9 foxa2 irx5a nkx2.1 fosl2 barhl1b pitx2 gata3 nr4a3 tfap2e etv1 nr4a2a rorb neurod1 gata2a npas4a"
3.12521170234492e-06,17,1321,4.81567595496437,"GO:0043565 Sequence-specific dna binding "," https://amigo.geneontology.org/amigo/term/GO:0043565","irx1b prdm16 tfap2a foxa2 irx5a nkx2.1 fosl2 pitx2 gata3 nr4a3 tfap2e etv1 nr4a2a rorb neurod1 gata2a npas4a"
3.29548673135638e-06,16,1174,5.09991617317001,"GO:0000981 Dna-binding transcription factor activity rna polymerase ii-specific "," https://amigo.geneontology.org/amigo/term/GO:0000981","irx1b prdm16 tfap2a foxa2 irx5a nkx2.1 fosl2 pitx2 gata3 nr4a3 tfap2e nr4a2a rorb neurod1 gata2a npas4a"
