"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00602464363048721,25,912,2.78553671355112,"GO:0000978 Rna polymerase ii cis-regulatory region sequence-specific dna binding "," https://amigo.geneontology.org/amigo/term/GO:0000978","rbpjb sox1b june gli1 pou4f2 kdm6ba prox3 insm1a nfia znf407 rorca smad2 klf11b tcf3b onecut1 sp5a znf367 sox14 sp5l tal1 eomesa foxb1a sox7 hdx bhlhe22"
0.00602464363048721,25,929,2.73456349059055,"GO:0000987 Cis-regulatory region sequence-specific dna binding "," https://amigo.geneontology.org/amigo/term/GO:0000987","rbpjb sox1b june gli1 pou4f2 kdm6ba prox3 insm1a nfia znf407 rorca smad2 klf11b tcf3b onecut1 sp5a znf367 sox14 sp5l tal1 eomesa foxb1a sox7 hdx bhlhe22"
0.00710599602646134,27,1129,2.43015256100913,"GO:0000976 Transcription cis-regulatory region binding "," https://amigo.geneontology.org/amigo/term/GO:0000976","rbpjb per1b dmbx1a sox1b june gli1 pou4f2 kdm6ba prox3 insm1a nfia znf407 rorca smad2 klf11b tcf3b onecut1 sp5a znf367 sox14 sp5l tal1 eomesa foxb1a sox7 hdx bhlhe22"
0.00710599602646134,27,1129,2.43015256100913,"GO:0001067 Transcription regulatory region nucleic acid binding "," https://amigo.geneontology.org/amigo/term/GO:0001067","rbpjb per1b dmbx1a sox1b june gli1 pou4f2 kdm6ba prox3 insm1a nfia znf407 rorca smad2 klf11b tcf3b onecut1 sp5a znf367 sox14 sp5l tal1 eomesa foxb1a sox7 hdx bhlhe22"
0.00710599602646134,28,1170,2.43184497494842,"GO:1990837 Sequence-specific double-stranded dna binding "," https://amigo.geneontology.org/amigo/term/GO:1990837","rbpjb pola1 per1b dmbx1a sox1b june gli1 pou4f2 kdm6ba prox3 insm1a nfia znf407 rorca smad2 klf11b tcf3b onecut1 sp5a znf367 sox14 sp5l tal1 eomesa foxb1a sox7 hdx bhlhe22"
0.00724864986420663,40,2055,1.977934390469,"GO:0003677 Dna binding "," https://amigo.geneontology.org/amigo/term/GO:0003677","rbpjb chd7 pola1 per1b dmbx1a mtf2 prdm10 sox1b june gli1 pou4f2 kdm6ba prox3 insm1a nfia znf407 rorca wdhd1 smad2 klf11b tcf3b onecut1 sp5a hey1 znf367 ighmbp2 sox14 sp5l tal1 mcm3 eomesa foxb1a zbtb47b sox7 mycn hdx dedd1 zgc:112496 bhlhe22 mysm1"
0.00855950021523934,28,1228,2.31698584746715,"GO:0003690 Double-stranded dna binding "," https://amigo.geneontology.org/amigo/term/GO:0003690","rbpjb pola1 per1b dmbx1a sox1b june gli1 pou4f2 kdm6ba prox3 insm1a nfia znf407 rorca smad2 klf11b tcf3b onecut1 sp5a znf367 sox14 sp5l tal1 eomesa foxb1a sox7 hdx bhlhe22"
