"","Pattern","Gene"
"246",5,"tyw1"
"247",5,"crhr1"
"248",5,"zc3h11a"
"249",5,"nav3"
"250",5,"LOC102779890"
"251",5,"LOC102791927"
"252",5,"sf3b1"
"253",5,"LOC102777511"
"254",5,"ndnl2"
"255",5,"taz"
"256",5,"LOC102778192"
"257",5,"LOC102792824"
"258",5,"LOC102789766"
"259",5,"rad18"
"260",5,"ppp2r5d"
"261",5,"LOC118455550"
"262",5,"LOC102780179"
"263",5,"LOC102783086"
"264",5,"myt1a"
"265",5,"tmem102"
"266",5,"LOC102776940"
"267",5,"lrp2b"
"268",5,"npas4l"
"269",5,"LOC102779233"
"270",5,"mdkb"
"271",5,"nrn1a"
"272",5,"dipk1c"
"273",5,"LOC102797425"
"274",5,"LOC118453364"
"275",5,"LOC102795250"
"276",5,"tbc1d22b"
"277",5,"LOC102792843"
"278",5,"LOC102781732"
"279",5,"LOC102795637"
"280",5,"ier2b"
"281",5,"slc17a7a"
"282",5,"slc6a16a"
"283",5,"LOC102792454"
"284",5,"LOC102784138"
"285",5,"LOC102792747"
"286",5,"LOC102777919"
"287",5,"LOC102779340"
"288",5,"si:dkeyp-74b6.2"
"289",5,"LOC102791586"
"290",5,"LOC102775609"
"291",5,"paqr9"
"292",5,"LOC102780104"
"293",5,"LOC102787849"
"294",5,"LOC102798906"
"295",5,"LOC102792854"
"296",5,"LOC102776278"
"297",5,"LOC102782819"
"298",6,"onecut1"
"299",6,"ccsapb"
"300",6,"LOC118454883"
"301",6,"hk1"
"302",6,"kiaa1549lb"
"303",6,"epha6"
"304",6,"LOC102799740"
"305",6,"dock4b"
"306",6,"LOC102778547"
"307",6,"LOC102797687"
"308",6,"ttll1"
"309",6,"si:dkey-97m3.1"
"310",6,"dyrk2"
"311",6,"parp12b"
"312",6,"xpnpep2"
"313",6,"inppl1b"
"314",6,"LOC102788558"
"315",6,"LOC102779498"
"316",6,"si:ch73-233f7.1"
"317",6,"LOC102792911"
"318",6,"si:ch211-153b23.4"
"319",6,"npy7r"
"320",6,"anxa6"
"321",6,"hdx"
"322",6,"micu3b"
"323",6,"gpc3"
"324",6,"june"
"325",6,"cep41"
"326",6,"LOC102785644"
"327",6,"mfge8b"
"328",6,"cspg4"
"329",6,"LOC102785544"
"330",6,"pde3a"
"331",6,"arhgap9"
"332",6,"gli1"
"333",6,"slc25a55a"
"334",6,"nfs1"
"335",6,"raly"
"336",6,"grm2b"
"337",6,"rassf1"
"338",6,"kif20ba"
"339",6,"LOC102798300"
"340",6,"anapc1"
"341",6,"LOC102783362"
"342",6,"LOC102789358"
"343",6,"znf503"
"344",6,"tp53bp2a"
"345",6,"mctp1a"
"346",6,"LOC102787028"
"347",6,"LOC102796532"
"348",6,"ube2r2"
"349",6,"cidec"
"350",6,"LOC102782204"
"351",6,"gxylt2"
"352",6,"unc119b"
"353",6,"LOC102782794"
"354",6,"f9b"
"355",6,"stk10"
"356",6,"fnip1"
"357",6,"capn5b"
"358",6,"LOC102783662"
"359",6,"l3mbtl1"
"360",6,"LOC102786829"
"361",6,"LOC102791097"
"362",6,"si:dkey-178k16.1"
