"","Pattern","Gene"
"243",6,"pcsk5b"
"244",6,"fem1c"
"245",6,"cldn5a"
"246",6,"pi4kab"
"247",6,"LOC102785111"
"248",6,"pak2b"
"249",6,"LOC102775821"
"250",6,"hmg20b"
"251",6,"gabra5"
"252",6,"gpr17"
"253",6,"cpt2"
"254",6,"cep170ab"
"255",6,"inab"
"256",6,"fgf8b"
"257",6,"cxcl12b"
"258",6,"rnf157"
"259",6,"timp2a"
"260",6,"socs3b"
"261",6,"opn4b"
"262",6,"LOC102777831"
"263",6,"si:ch211-114m9.1"
"264",6,"cyth1a"
"265",6,"lmtk2"
"266",6,"LOC102798923"
"267",6,"bcan"
"268",6,"si:ch73-60h1.1"
"269",6,"atp13a3"
"270",6,"tsc22d2"
"271",6,"LOC102790569"
"272",6,"camsap2a"
"273",6,"atcayb"
"274",6,"LOC102797643"
"275",6,"LOC102779359"
"276",6,"chrm5b"
"277",6,"map3k5"
"278",6,"vsnl1a"
"279",6,"LOC102778418"
"280",6,"LOC102797647"
"281",6,"nkain2"
"282",6,"LOC118453386"
"283",6,"cdk5r1b"
"284",6,"mrpl10"
"285",6,"zbtb1"
"286",6,"klf11a"
"287",6,"LOC102781664"
"288",6,"ramp1"
"289",6,"LOC102795379"
"290",6,"hsd17b12b"
"291",6,"timm17b"
"292",6,"LOC102790759"
"293",6,"angpt1"
"294",6,"LOC102797851"
"295",6,"prex2"
"296",6,"LOC102789020"
"297",6,"txndc5"
"298",6,"bckdhb"
"299",6,"sybu"
"300",6,"trpc1"
"301",6,"zic4"
"302",6,"zic1"
"303",6,"oxsr1b"
"304",6,"zdhhc18b"
"305",6,"sipa1l3"
"306",6,"drd2a"
"307",6,"psph"
"308",6,"LOC102791526"
"309",6,"lrrtm4l1"
"310",6,"LOC102794246"
"311",6,"LOC102780988"
"312",6,"LOC102791527"
"313",6,"znf423"
"314",6,"tcea3"
"315",6,"tmem131l"
"316",6,"cacna1hb"
"317",6,"LOC102798545"
"318",6,"stim1a"
"319",6,"dclk1b"
"320",6,"notch1a"
"321",6,"olfm1b"
"322",6,"lhfpl2a"
"323",6,"LOC102799805"
"324",6,"stxbp5a"
"325",6,"ccdc167"
"326",6,"fdft1"
"327",6,"rasgrf2a"
"328",6,"sptan1"
"329",6,"calb2a"
"330",6,"mxd1"
"331",6,"tacr1a"
"332",6,"LOC102775638"
"333",6,"LOC102788172"
"334",6,"LOC102789722"
"335",6,"cacna1ha"
"336",6,"rdh8a"
"337",6,"hs3st4"
"338",6,"ezh1"
"339",6,"stat3"
"340",6,"hs6st1a"
"341",6,"meis2a"
"342",6,"LOC118454758"
"343",6,"htr1d"
"344",6,"numb"
"345",6,"vsnl1b"
"346",6,"plppr3a"
"347",6,"zfp36l1a"
"348",6,"dtnbb"
"349",6,"clasp1a"
"350",6,"LOC118454798"
"351",6,"LOC102782851"
"352",6,"phex"
"353",6,"LOC102793870"
"354",6,"si:dkey-16j16.4"
"355",6,"LOC102792010"
"356",6,"srrm3"
"357",6,"pla2g4ab"
"358",6,"b2m"
"359",6,"nectin1a"
"360",6,"LOC102782854"
"361",6,"igfbp2a"
"362",6,"LOC102797086"
"363",6,"gclm"
"364",6,"col12a1a"
"365",6,"LOC102796896"
"366",6,"LOC118454911"
"367",6,"shisa9a"
"368",6,"mrtfba"
"369",6,"LOC102793793"
"370",6,"numbl"
"371",6,"LOC102791340"
"372",6,"LOC102786088"
"373",6,"LOC102799540"
"374",6,"cep72"
"375",6,"cbx3b"
"376",6,"sp8b"
"377",6,"LOC102799249"
"378",6,"ncam1b"
"379",6,"bcl6b"
"380",6,"rab40c"
"381",6,"LOC102782071"
"382",6,"yif1b"
"383",6,"LOC102799908"
"384",6,"LOC102794176"
"385",6,"LOC102789333"
"386",6,"LOC102791738"
"387",6,"LOC102788552"
"388",6,"LOC102789146"
"389",6,"zfr"
"390",6,"lhx2b"
"391",6,"hecw2b"
"392",6,"fam131bb"
"393",6,"dbpb"
"394",6,"grna"
"395",6,"unm_hu7912"
"396",6,"pbx3b"
"397",6,"LOC102784755"
"398",6,"rflna"
"399",6,"cabin1"
"400",6,"lrrc75ba"
"401",6,"LOC102785738"
"402",6,"tac1"
"403",6,"cacna1bb"
"404",6,"stxbp1a"
"405",6,"LOC102797105"
"406",6,"atf4a"
"407",6,"LOC102783060"
"408",6,"kremen1"
"409",6,"LOC102793509"
"410",6,"kiaa0513"
"411",6,"LOC102798479"
"412",6,"kcnh7"
"413",6,"kcnip4"
"414",6,"LOC102787298"
"415",6,"dbpa"
"416",6,"vasna"
"417",6,"LOC102785745"
"418",6,"fam13b"
"419",6,"lingo2"
"420",6,"LOC102779218"
"421",6,"si:ch211-146m13.3"
"422",6,"LOC102793016"
"423",6,"kcnj5"
"424",6,"LOC102794285"
"425",6,"fam189b"
"426",6,"LOC102785646"
"427",6,"appa"
"428",6,"rcn3"
"429",6,"caskin1"
"430",6,"gng13b"
"431",6,"LOC102785548"
"432",6,"LOC102787506"
"433",6,"ndrg4"
"434",6,"si:ch73-138n13.1"
"435",6,"nat8l"
"436",6,"LOC102787511"
"437",6,"erbb2"
"438",6,"LOC102798681"
"439",6,"taok2b"
"440",6,"LOC102780940"
"441",6,"LOC102779698"
"442",6,"LOC102781906"
"443",6,"LOC102793715"
"444",6,"LOC102787026"
"445",6,"sult4a1"
"446",6,"LOC102791653"
"447",6,"LOC102794484"
"448",6,"LOC102777039"
"449",6,"ttbk1a"
"450",6,"memo1"
"451",6,"ephx5"
"452",6,"LOC102799487"
"453",6,"rims1b"
"454",6,"LOC102779517"
"455",6,"LOC102777708"
"456",6,"LOC102787925"
"457",6,"gdpd5a"
"458",6,"kctd17"
"459",6,"LOC102794198"
"460",6,"LOC102779331"
"461",6,"scn8ab"
"462",6,"rhebl1"
"463",6,"plekho1a"
"464",6,"mdkb"
"465",6,"LOC102793628"
"466",6,"LOC102797425"
"467",6,"LOC102796234"
"468",6,"agla"
"469",6,"LOC102794210"
"470",6,"cacna1ab"
"471",6,"gpc2"
"472",6,"hs3st1"
"473",6,"scamp4"
"474",6,"LOC102794785"
"475",6,"LOC102800266"
"476",6,"LOC102788225"
"477",6,"mid1ip1l"
"478",8,"cdh8"
"479",8,"irx5a"
"480",8,"gata3"
"481",8,"npas4a"
"482",8,"LOC102788558"
"483",8,"LOC102788002"
"484",8,"ebf1a"
"485",8,"acsl4a"
"486",8,"errfi1a"
"487",8,"LOC102785456"
"488",8,"LOC102795423"
