"","coefficients.Response","coefficients.Predictor","coefficients.Estimate","coefficients.Std.Error","coefficients.DF","coefficients.Crit.Value","coefficients.P.Value","coefficients.Std.Estimate","coefficients."
"1","hsd17b4","Pr",-0.3956,0.2651,12,-1.4923,0.1614,-0.3956,""
"2","hsd11b2","hsd17b4",-0.1619,0.2818,11,-0.5745,0.5772,-0.1619,""
"3","hsd11b2","T",0.3568,0.2818,11,1.2661,0.2316,0.3568,""
"4","srd5a1","T",0.304,0.2793,11,1.0883,0.2997,0.304,""
"5","srd5a1","hsd17b4",-0.2556,0.2793,11,-0.9152,0.3797,-0.2556,""
"6","srd5a2a","T",0.0085,0.3117,11,0.0274,0.9786,0.0085,""
"7","srd5a2a","hsd17b4",-0.0022,0.3117,11,-0.0071,0.9945,-0.0022,""
"8","srd5a3","T",0.0355,0.3006,11,0.1179,0.9082,0.0355,""
"9","srd5a3","hsd17b4",0.2713,0.3006,11,0.9026,0.3861,0.2713,""
